Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014]
Uruguay,URY,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,45,45,45,43,43,43,64,64,6.5,6.5,6.5,6.5
Uzbekistan,UZB,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,28,28,28,28,14,14,14,14,13,11,7.5,7.5
Vanuatu,VUT,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,47,47,47,47,47,47,47,47,33,33,35,35
"Venezuela, RB",VEN,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,143,143,143,143,142,141,141,141,141,144,144,144
Vietnam,VNM,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,62,48,42,47,37,37,37,36,36,32,34,34
Virgin Islands (U.S.),VIR,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
West Bank and Gaza,PSE,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,93,93,93,92,48,48,48,47,47,45,44
World,WLD,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,50.9310344827586,48.0290322580645,50.1408045977011,46.373595505618,42.2430939226519,38.6428571428571,36.2267759562842,33.9918032786885,30.1297297297297,29.6666666666667,24.8693121693122,22.2936507936508
"Yemen, Rep.",YEM,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,72,63,63,63,63,13,12,12,12,40,40,40
Zambia,ZMB,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,35,35,35,35,33,18,18,18,18,17.5,7.5,6.5
Zimbabwe,ZWE,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,131,93,93,93,93,93,93,86,86,86,90,90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: Jobs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 10/04/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,
