id,name,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014
CEB,Central Europe and the Baltics,1.08E+12,1.14E+12,1.21E+12,1.29E+12,1.34E+12,1.29E+12,1.31E+12,1.35E+12,1.36E+12,1.38E+12,1.42E+12
TCD,Chad,7165890625,8407921035,8462426393,8739274637,9006057734,9385905830,10657705536,10666537556,11614000868,12275999076,13123041176
CHL,Chile,1.72E+11,1.82E+11,1.93E+11,2.03E+11,2.10E+11,2.06E+11,2.19E+11,2.32E+11,2.44E+11,2.54E+11,2.59E+11
CHN,China,3.20E+12,3.57E+12,4.02E+12,4.60E+12,5.04E+12,5.51E+12,6.10E+12,6.68E+12,7.21E+12,7.77E+12,8.33E+12
COL,Colombia,2.20E+11,2.30E+11,2.45E+11,2.62E+11,2.72E+11,2.76E+11,2.87E+11,3.06E+11,3.18E+11,3.34E+11,3.48E+11
COM,Comoros,476594257.6,490117180.1,503090091.1,507115580.5,509145396.1,519073731.2,530493353.2,544286180.9,560614766.1,580236282.9,592198663.1
COD,"Congo, Dem. Rep.",14768798308,15674886408,16508944145,17542316526,18634483660,19166509369,20523285374,21932132984,23502004277,25500497990,27925586058
COG,"Congo, Rep.",8637979940,9307920845,9888362511,9731906590,10274194134,11041561163,12007880590,12418624708,12890531932,13334057141,14238098342
CRI,Costa Rica,28438822146,29539652853,31677653998,34265051869,35858239193,35510217658,37268635287,38873833296,40738579949,41662949490,43186481741
CIV,Cote d'Ivoire,21923410906,22300767039,22638811513,23038394864,23624224724,24392355457,24884505035,23792758396,26340131050,28681616270,31203899802
HRV,Croatia,55954431684,58284285195,61073258694,64218534558,65537175791,60698052947,59665427465,59497610895,58196142797,57576981757,57293842615
CUB,Cuba,44497068633,49481477439,55451844706,59478833619,61927474920,62826231727,64328000000,66130664082,68124437665,69996226460,70729490571
CYP,Cyprus,21763510222,22574052491,23592183641,24729494525,25685033799,25229779225,25562251656,25644356585,24834564819,23356225780,22998536479
CZE,Czech Republic,1.72E+11,1.84E+11,1.96E+11,2.07E+11,2.13E+11,2.02E+11,2.07E+11,2.11E+11,2.09E+11,2.08E+11,2.14E+11
DNK,Denmark,3.11E+11,3.19E+11,3.31E+11,3.34E+11,3.32E+11,3.16E+11,3.22E+11,3.26E+11,3.27E+11,3.30E+11,3.36E+11
DJI,Djibouti,863642312.6,891016329.4,933783907.5,981407460.1,1038328726,1090583938,1128611700,1179032592,1236125825,1297930970,1375809351
DMA,Dominica,423761746.3,423387808.8,435791748.5,463338169.8,496331285,490525414.3,493824407.4,492683617.1,487412935,491169137.4,511734207.9
DOM,Dominican Republic,36370076969,39738946301,43979550793,47810351794,49344827072,49811705704,53954579004,55628205430,57182407631,59894034107,64451350101
EAR,Early-demographic dividend,6.32E+12,6.73E+12,7.16E+12,7.62E+12,7.90E+12,7.97E+12,8.49E+12,8.95E+12,9.30E+12,9.71E+12,1.01E+13
EAS,East Asia & Pacific,1.28E+13,1.34E+13,1.42E+13,1.51E+13,1.56E+13,1.58E+13,1.69E+13,1.77E+13,1.85E+13,1.94E+13,2.02E+13
EAP,East Asia & Pacific (excluding high income),4.51E+12,4.94E+12,5.48E+12,6.15E+12,6.66E+12,7.17E+12,7.87E+12,8.54E+12,9.18E+12,9.85E+12,1.05E+13
TEA,East Asia & Pacific (IDA & IBRD countries),4.50E+12,4.93E+12,5.46E+12,6.14E+12,6.65E+12,7.16E+12,7.86E+12,8.53E+12,9.17E+12,9.83E+12,1.05E+13
ECU,Ecuador,55917517446,58876285669,61468918472,62815127109,66808366776,67186830557,69555367000,75028081292,79261137178,83181798259,86503004996
EGY,"Egypt, Arab Rep.",1.55E+11,1.62E+11,1.73E+11,1.86E+11,1.99E+11,2.08E+11,2.19E+11,2.23E+11,2.28E+11,2.33E+11,2.39E+11
SLV,El Salvador,19274802605,19961528067,20742412794,21538872737,21813256138,21129834509,21418330000,21893114521,22304937410,22716831094,23040654008
GNQ,Equatorial Guinea,10340911892,12072880265,13003085742,14990232118,17658359892,17895574580,16298542028,17361846463,18805114509,18027862927,17902653392
EST,Estonia,18185135023,19889757107,21932809903,23632206206,22351469215,19060348608,19490936349,20971721297,21875027648,22184606169,22810856962
ETH,Ethiopia,15972968199,17860775923,19795942248,22063798450,24444156129,26595865977,29933790334,33279878092,36157859262,39984181570,44085556182
EMU,Euro area,1.19E+13,1.21E+13,1.25E+13,1.29E+13,1.30E+13,1.24E+13,1.26E+13,1.28E+13,1.27E+13,1.27E+13,1.28E+13
ECS,Europe & Central Asia,1.91E+13,1.96E+13,2.04E+13,2.11E+13,2.13E+13,2.04E+13,2.09E+13,2.14E+13,2.14E+13,2.16E+13,2.20E+13
ECA,Europe & Central Asia (excluding high income),2.46E+12,2.63E+12,2.85E+12,3.06E+12,3.20E+12,3.00E+12,3.16E+12,3.34E+12,3.46E+12,3.58E+12,3.66E+12
TEC,Europe & Central Asia (IDA & IBRD countries),2.83E+12,3.01E+12,3.25E+12,3.50E+12,3.65E+12,3.47E+12,3.64E+12,3.85E+12,3.97E+12,4.10E+12,4.20E+12
EUU,European Union,1.59E+13,1.62E+13,1.68E+13,1.73E+13,1.74E+13,1.66E+13,1.70E+13,1.73E+13,1.72E+13,1.72E+13,1.75E+13
FJI,Fiji,3010663631,3031738288,3087900728,3061633391,3093253763,3050380107,3140508836,3225464090,3286214955,3486033051,3675898772
FIN,Finland,2.31E+11,2.38E+11,2.48E+11,2.60E+11,2.62E+11,2.41E+11,2.48E+11,2.54E+11,2.51E+11,2.49E+11,2.47E+11
FCS,Fragile and conflict affected situations,4.53E+11,4.83E+11,5.15E+11,5.43E+11,5.74E+11,6.00E+11,6.38E+11,6.04E+11,6.43E+11,6.79E+11,7.02E+11
FRA,France,2.51E+12,2.55E+12,2.61E+12,2.67E+12,2.67E+12,2.60E+12,2.65E+12,2.70E+12,2.71E+12,2.72E+12,2.75E+12
GAB,Gabon,13090708219,13601338190,13106978860,13848696553,13390522032,13407974049,14358584300,15376859682,16184310412,17096848844,17834556864
GMB,"Gambia, The",765218419.3,758012541.8,766533358.5,794366380.5,839920448.1,894092762.5,952429030.4,911201531.5,964618263.9,1010735774,1019604583
GEO,Georgia,8250406686,9042416093,9890890979,11111822549,11368955393,10953977000,11638536834,12479016474,13271494257,13721005574,14355373169
DEU,Germany,3.19E+12,3.21E+12,3.33E+12,3.44E+12,3.48E+12,3.28E+12,3.42E+12,3.54E+12,3.56E+12,3.58E+12,3.63E+12
GHA,Ghana,22161789893,23469336373,24971353346,26056812916,28440958948,29819138460,32174772956,36694042412,40103840659,43036444041,44751818870
GRC,Greece,3.03E+11,3.04E+11,3.22E+11,3.32E+11,3.31E+11,3.17E+11,2.99E+11,2.72E+11,2.52E+11,2.44E+11,2.45E+11
GRL,Greenland,1929233122,1982166035,2123041909,2135737274,2212620686,2245621522,2306502374,2340907879,2376469124,2306075639,2287263740
GRD,Grenada,712303113.6,806847560.8,774430775.5,822062785,829864579.7,774978091.9,771015888.9,776912813.8,767937177.5,786001370.8,843825685.9
GUM,Guam,4680386191,4845859455,4660328826,4698437820,4779670150,4794713174,4895000000,4901017210,5000301168,5093567916,5157751485
GTM,Guatemala,33460283473,34551125870,36409899313,38705199942,39975176494,40185315839,41338595381,43059085364,44337951141,45977203823,47896476508
GIN,Guinea,4133010005,4256887580,4363170508,4439861186,4659054145,4645999835,4735956493,4921073735,5115166394,5232815182,5253746370
GNB,Guinea-Bissau,690382259.6,719829998.4,736456272.7,760060047.1,784438039.8,810416099.1,846332456.4,925330348.6,908693015.2,916146773.3,939426750.9
GUY,Guyana,1862536418,1826088235,1919759428,2054532558,2095143415,2164673351,2259288396,2382128754,2496863007,2627239852,2728149909
HTI,Haiti,6266620799,6379733985,6523228359,6741318083,6798211055,7007816740,6622541529,6988353355,7189974062,7494401367,7705005174
HPC,Heavily indebted poor countries (HIPC),3.30E+11,3.50E+11,3.72E+11,3.96E+11,4.20E+11,4.38E+11,4.63E+11,4.85E+11,5.13E+11,5.42E+11,5.72E+11
HIC,High income,4.17E+13,4.29E+13,4.42E+13,4.53E+13,4.54E+13,4.39E+13,4.52E+13,4.60E+13,4.66E+13,4.72E+13,4.81E+13
HND,Honduras,12511401250,13268415997,14139785191,15014801359,15650167710,15269613869,15839344592,16446892853,17125933704,17604014377,18142359319
HKG,"Hong Kong SAR, China",1.76E+11,1.89E+11,2.02E+11,2.15E+11,2.20E+11,2.14E+11,2.29E+11,2.40E+11,2.44E+11,2.51E+11,2.58E+11
HUN,Hungary,1.26E+11,1.32E+11,1.37E+11,1.37E+11,1.38E+11,1.29E+11,1.30E+11,1.33E+11,1.30E+11,1.33E+11,1.39E+11
IBD,IBRD only,1.37E+13,1.46E+13,1.58E+13,1.72E+13,1.82E+13,1.86E+13,2.00E+13,2.12E+13,2.22E+13,2.33E+13,2.44E+13
ISL,Iceland,11874874483,12671012623,13304647025,14548640743,14769687773,13744089340,13254818331,13518208903,13682797877,14286419350,14561453492
IBT,IDA & IBRD total,1.47E+13,1.57E+13,1.70E+13,1.84E+13,1.95E+13,1.99E+13,2.14E+13,2.27E+13,2.38E+13,2.50E+13,2.61E+13
IDB,IDA blend,5.06E+11,5.31E+11,5.67E+11,6.01E+11,6.27E+11,6.60E+11,7.00E+11,7.34E+11,7.68E+11,8.09E+11,8.57E+11
IDX,IDA only,5.12E+11,5.47E+11,5.83E+11,6.25E+11,6.65E+11,6.97E+11,7.39E+11,7.70E+11,8.08E+11,8.56E+11,9.03E+11
IDA,IDA total,1.02E+12,1.08E+12,1.16E+12,1.23E+12,1.30E+12,1.36E+12,1.44E+12,1.51E+12,1.58E+12,1.67E+12,1.77E+12
IND,India,1.02E+12,1.11E+12,1.21E+12,1.33E+12,1.39E+12,1.50E+12,1.66E+12,1.77E+12,1.86E+12,1.98E+12,2.13E+12
IDN,Indonesia,5.40E+11,5.71E+11,6.03E+11,6.41E+11,6.79E+11,7.11E+11,7.55E+11,8.02E+11,8.50E+11,8.97E+11,9.42E+11
IRN,"Iran, Islamic Rep.",3.54E+11,3.69E+11,3.90E+11,4.25E+11,4.29E+11,4.39E+11,4.68E+11,4.85E+11,4.53E+11,4.45E+11,4.64E+11
IRQ,Iraq,99796330255,1.04E+11,1.15E+11,1.16E+11,1.26E+11,1.30E+11,1.39E+11,1.49E+11,1.70E+11,1.81E+11,1.82E+11
IRL,Ireland,2.05E+11,2.16E+11,2.29E+11,2.38E+11,2.27E+11,2.17E+11,2.21E+11,2.21E+11,2.19E+11,2.21E+11,2.40E+11
IMN,Isle of Man,3602846612,3815414672,4109201659,4415627500,4850507790,4953685422,5420118974,5681084811,6036126518,6307360485,6624692723
ISR,Israel,1.81E+11,1.89E+11,2.00E+11,2.12E+11,2.19E+11,2.22E+11,2.34E+11,2.46E+11,2.51E+11,2.62E+11,2.71E+11
ITA,Italy,2.14E+12,2.16E+12,2.20E+12,2.23E+12,2.21E+12,2.09E+12,2.13E+12,2.14E+12,2.08E+12,2.04E+12,2.04E+12
JAM,Jamaica,13399096795,13518857646,13910786275,14109982341,13995303046,13388911184,13192229343,13420329296,13336860996,13404030752,13497137976
JPN,Japan,5.58E+12,5.67E+12,5.75E+12,5.85E+12,5.78E+12,5.47E+12,5.70E+12,5.69E+12,5.78E+12,5.89E+12,5.91E+12
JOR,Jordan,18058165848,19529289369,21109859431,22835742225,24487316382,25828384110,26425379437,27109037782,27827531286,28614830798,29500840468
KAZ,Kazakhstan,99801702225,1.09E+11,1.21E+11,1.32E+11,1.36E+11,1.38E+11,1.48E+11,1.59E+11,1.67E+11,1.77E+11,1.84E+11
KEN,Kenya,29576212000,31323180082,33350571127,35635328632,35718103352,36899279533,39999659234,42444283792,44381101421,46990605387,49505467335
KIR,Kiribati,149908624.3,157331547.1,154844134.3,158254068.4,155330423.7,155780297.8,153275912.7,154006797,161996359.3,171363258.2,175490863.9
KOR,"Korea, Rep.",8.61E+11,8.95E+11,9.41E+11,9.92E+11,1.02E+12,1.03E+12,1.09E+12,1.13E+12,1.16E+12,1.19E+12,1.23E+12
XKX,Kosovo,4475033482,4745022534,4958692405,5319986849,5460690853,5643168878,5829933775,6099252132,6270547045,6486283004,6565320558
KWT,Kuwait,98960267620,1.09E+11,1.17E+11,1.24E+11,1.27E+11,1.18E+11,1.15E+11,1.27E+11,1.35E+11,1.36E+11,1.37E+11
KGZ,Kyrgyz Republic,3866169244,3859382253,3979134974,4319067497,4681938961,4817073517,4794357795,5079922900,5075444938,5629453576,5855984963
LAO,Lao PDR,4526436482,4848156050,5266031526,5666082926,6109448405,6567765473,7127792630,7700771123,8318856828,8986424447,9670607354
LTE,Late-demographic dividend,8.99E+12,9.64E+12,1.05E+13,1.15E+13,1.22E+13,1.26E+13,1.35E+13,1.44E+13,1.52E+13,1.60E+13,1.67E+13
LCN,Latin America & Caribbean,4.24E+12,4.43E+12,4.67E+12,4.94E+12,5.13E+12,5.04E+12,5.33E+12,5.57E+12,5.73E+12,5.89E+12,5.96E+12
LAC,Latin America & Caribbean (excluding high income),3.89E+12,4.06E+12,4.28E+12,4.54E+12,4.73E+12,4.65E+12,4.92E+12,5.14E+12,5.29E+12,5.44E+12,5.51E+12
TLA,Latin America & the Caribbean (IDA & IBRD countries),4.06E+12,4.24E+12,4.48E+12,4.74E+12,4.94E+12,4.85E+12,5.14E+12,5.38E+12,5.53E+12,5.69E+12,5.77E+12
LVA,Latvia,21958595917,24307514343,27197529029,29903517586,28824324886,24693152309,23757368290,25273444912,26285714443,26976123668,27547995580
LDC,Least developed countries: UN classification,4.29E+11,4.65E+11,5.05E+11,5.52E+11,5.93E+11,6.23E+11,6.60E+11,6.86E+11,7.16E+11,7.59E+11,8.01E+11
LBN,Lebanon,25637810945,26338308458,26748258706,29249087894,31918407960,35207296849,38009950249,38763515755,39616313101,39972859919,40692371398
LSO,Lesotho,1824780325,1888029452,1967894891,2062535217,2199886720,2247212553,2394097299,2552833666,2703478718,2761672832,2824569237
LBR,Liberia,866700939.8,912479873.1,985872107.8,1079873957,1157051893,1218376790,1292697100,1398698238,1510516487,1641989954,1653502630
LTU,Lithuania,32501016178,35012502276,37605683774,41775008782,42872888581,36521628848,37120517694,39366069029,40875719146,42309159363,43787871322
LMY,Low & middle income,1.41E+13,1.51E+13,1.63E+13,1.78E+13,1.88E+13,1.92E+13,2.07E+13,2.19E+13,2.30E+13,2.42E+13,2.53E+13
LIC,Low income,2.07E+11,2.20E+11,2.31E+11,2.45E+11,2.58E+11,2.72E+11,2.90E+11,3.07E+11,3.19E+11,3.37E+11,3.57E+11
LMC,Lower middle income,3.18E+12,3.39E+12,3.65E+12,3.94E+12,4.14E+12,4.34E+12,4.66E+12,4.91E+12,5.16E+12,5.45E+12,5.75E+12
LUX,Luxembourg,45708017660,47158078345,49600152814,53744023972,53056323196,50743806576,53212476812,54563666562,54371319074,56540838910,59722352797
MAC,"Macao SAR, China",15293163874,16525751210,18726051108,21431487901,22158760634,22451535668,28123640999,34218781819,37379685933,41566235637,41066963129
MKD,"Macedonia, FYR",7387459163,7736396749,8133817397,8660358997,9134228880,9101472088,9407168702,9627286317,9583368138,9863707082,10221724269
MDG,Madagascar,7255032154,7588974027,7970138368,8467521105,9071129494,8707027002,8729936136,8856903643,9125047118,9330835549,9640232447
MWI,Malawi,4712790834,4866839045,5095580480,5584756206,6011416880,6512054307,6959697194,7297524731,7435141417,7821768770,8267609590
MYS,Malaysia,1.94E+11,2.05E+11,2.16E+11,2.37E+11,2.45E+11,2.38E+11,2.55E+11,2.69E+11,2.83E+11,2.97E+11,3.14E+11
MDV,Maldives,1674797439,1538724511,1844747307,2032394746,2289934843,2168024404,2323401758,2525754692,2588809905,2710478629,2873034880
MLI,Mali,8004216841,8527273414,8924830837,9236630227,9677529939,10130347923,10678749467,11024767958,10932581179,11184422458,11972181171
MLT,Malta,7620794702,7909139073,8053774834,8374834437,8655099338,8441986755,8741059603,8863100959,9091901001,9502045873,10291251009
MHL,Marshall Islands,147624234.2,151684209.2,154601869.3,160097472.6,157478430.9,154786418.7,164751300,167514136.8,173711800,177809833.3,176121189.1
MRT,Mauritania,3112048382,3391181144,4031066483,4144655357,4189416274,4145759133,4343665120,4547994017,4811553826,5104589903,5389402735
MUS,Mauritius,7576632769,7670688144,8325631105,8802441343,9276625562,9584152842,10003670690,10411574172,10775575125,11137678209,11554736860
MEX,Mexico,9.27E+11,9.55E+11,1.00E+12,1.03E+12,1.05E+12,1.00E+12,1.05E+12,1.09E+12,1.14E+12,1.15E+12,1.18E+12
FSM,"Micronesia, Fed. Sts.",291901165,298207854.1,297720587.1,291588505.1,284124877,286858031.4,294117200,300148270.7,301841581.2,291091490.4,281185922.6
MEA,Middle East & North Africa,2.10E+12,2.22E+12,2.35E+12,2.48E+12,2.59E+12,2.61E+12,2.75E+12,2.85E+12,2.94E+12,3.02E+12,3.12E+12
MNA,Middle East & North Africa (excluding high income),1.02E+12,1.07E+12,1.13E+12,1.21E+12,1.25E+12,1.29E+12,1.36E+12,1.36E+12,1.36E+12,1.39E+12,1.43E+12
TMN,Middle East & North Africa (IDA & IBRD countries),1.02E+12,1.07E+12,1.13E+12,1.20E+12,1.25E+12,1.28E+12,1.35E+12,1.35E+12,1.35E+12,1.37E+12,1.42E+12
MIC,Middle income,1.40E+13,1.49E+13,1.62E+13,1.76E+13,1.86E+13,1.90E+13,2.04E+13,2.17E+13,2.27E+13,2.39E+13,2.50E+13
MDA,Moldova,4614800816,4960910882,5199034597,5355005646,5772696091,5426334311,5811604052,6206793144,6163345583,6742700074,7066349660
MNG,Mongolia,4897515746,5252765153,5702204073,6286566880,6846094463,6759244981,7189481853,8432599153,9471480167,10574804920,11408652169
MNE,Montenegro,3199264063,3333409014,3618956923,4004661781,4281888399,4039665505,4139192053,4272823969,4156442163,4303954881,4380724910
MAR,Morocco,70687304633,73014076005,78544623311,81318500634,86135221236,89790590993,93216746662,98106615022,1.01E+11,1.06E+11,1.08E+11
MOZ,Mozambique,6526530624,7095687684,7794687813,8373526085,8949306941,9517718743,10154238250,10876976985,11659922001,12492636703,13422568270
MMR,Myanmar,25777607411,29275358078,33103433579,37073010379,40874960812,45187272895,49540813342,52310879191,56146663570,60877582017,65742457738
NAM,Namibia,8829372914,9052690942,9693003647,10334398854,10608240991,10639638311,11282192605,11856607187,12456750940,13161100583,14011151013
NPL,Nepal,12444593149,12877563075,13310843466,13764950914,14605251496,15267319043,16002656434,16550239852,17341538638,18057549556,19139013429
NLD,Netherlands,7.69E+11,7.85E+11,8.13E+11,8.43E+11,8.57E+11,8.25E+11,8.36E+11,8.50E+11,8.41E+11,8.40E+11,8.52E+11
NZL,New Zealand,1.34E+11,1.38E+11,1.42E+11,1.46E+11,1.45E+11,1.44E+11,1.47E+11,1.50E+11,1.53E+11,1.57E+11,1.62E+11
NIC,Nicaragua,7372752320,7688482941,7981019308,8386163942,8674288797,8388673512,8758622329,9311876958,9916789194,10405398732,10903344941
NER,Niger,4252757656,4444131751,4701891392,4849839715,5314826498,5276949262,5718589799,5850769296,6541959480,6886614682,7372107103
NGA,Nigeria,2.52E+11,2.61E+11,2.82E+11,3.01E+11,3.20E+11,3.42E+11,3.69E+11,3.87E+11,4.04E+11,4.25E+11,4.52E+11
NAC,North America,1.54E+13,1.59E+13,1.64E+13,1.67E+13,1.66E+13,1.62E+13,1.66E+13,1.69E+13,1.72E+13,1.75E+13,1.80E+13
MNP,Northern Mariana Islands,1416589330,1237161290,1151908189,1074585608,955627791.6,788095533.5,799000000,737538461.5,741503722.1,758356079.4,780165012.4
NOR,Norway,3.99E+11,4.09E+11,4.19E+11,4.31E+11,4.33E+11,4.26E+11,4.29E+11,4.33E+11,4.45E+11,4.49E+11,4.58E+11
OED,OECD members,4.14E+13,4.25E+13,4.37E+13,4.48E+13,4.49E+13,4.33E+13,4.46E+13,4.54E+13,4.60E+13,4.66E+13,4.75E+13
OMN,Oman,43202600780,44278543563,46657217165,48734720416,52730819246,55953966190,58641621958,57992510294,63404125035,66176989896,67858918769
OSS,Other small states,2.08E+11,2.20E+11,2.44E+11,2.69E+11,2.89E+11,2.95E+11,3.20E+11,3.45E+11,3.58E+11,3.69E+11,3.81E+11
PSS,Pacific island small states,5839621464,5965902291,6110472990,6186850929,6307933567,6216353682,6402407316,6657472805,6799797712,7031598961,7297895486
PAK,Pakistan,1.39E+11,1.50E+11,1.59E+11,1.67E+11,1.70E+11,1.75E+11,1.77E+11,1.82E+11,1.89E+11,1.97E+11,2.06E+11
PLW,Palau,210608763.5,213256542.6,207409363.7,207299039.6,195715006,177952821.1,183800000,193067226.9,199245378.2,194391116.4,202665426.2
PAN,Panama,18997067621,20363199727,22125118619,24776589614,26910261836,27340384376,28917200000,32331762130,35315968353,37655354233,39934758615
PNG,Papua New Guinea,6841089094,7275142244,7442067921,7974306939,8501485047,9023602246,9716103409,10752746441,11622379449,12265958484,13312723336
PRY,Paraguay,15366214891,15694050960,16448482864,17340257506,18442944772,17711553670,20030528043,20900335112,20641386542,23538668873,24650243376
PER,Peru,99530031846,1.06E+11,1.14E+11,1.23E+11,1.35E+11,1.36E+11,1.48E+11,1.57E+11,1.66E+11,1.76E+11,1.80E+11
PHL,Philippines,1.50E+11,1.57E+11,1.65E+11,1.76E+11,1.83E+11,1.85E+11,2.00E+11,2.07E+11,2.21E+11,2.36E+11,2.51E+11
POL,Poland,3.67E+11,3.80E+11,4.03E+11,4.32E+11,4.50E+11,4.63E+11,4.79E+11,5.03E+11,5.11E+11,5.19E+11,5.36E+11
PRT,Portugal,2.29E+11,2.31E+11,2.35E+11,2.41E+11,2.41E+11,2.34E+11,2.38E+11,2.34E+11,2.25E+11,2.22E+11,2.24E+11
PST,Post-demographic dividend,3.95E+13,4.05E+13,4.17E+13,4.27E+13,4.28E+13,4.12E+13,4.24E+13,4.31E+13,4.35E+13,4.41E+13,4.49E+13
PRE,Pre-demographic dividend,6.87E+11,7.27E+11,7.88E+11,8.45E+11,9.03E+11,9.47E+11,1.01E+12,1.05E+12,1.11E+12,1.17E+12,1.22E+12
PRI,Puerto Rico,1.09E+11,1.10E+11,1.09E+11,1.05E+11,1.03E+11,1.01E+11,98381268000,96521406497,93845351394,93303542112,2.55E+12
QAT,Qatar,49633455959,53352370952,67314817504,79421829550,93450549191,1.05E+11,1.25E+11,1.42E+11,1.49E+11,1.55E+11,1.61E+11
