Country Name,Country Code,Series Name,Series Code,2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014]
"Congo, Dem. Rep.",COD,Scientific and technical journal articles,IP.JRN.ARTC.SC,3.5,5.4,8.1,7.2,8.4,16.2,18.3,13.7,21.4,16.4,16.4
"Congo, Rep.",COG,Scientific and technical journal articles,IP.JRN.ARTC.SC,47,65.1,63.5,73.6,74.9,71,91.8,95.2,114.2,136.8,136.8
Costa Rica,CRI,Scientific and technical journal articles,IP.JRN.ARTC.SC,211.6,207.7,215.1,215.4,246.1,256.8,264.3,267.1,295.9,276.6,276.6
Cote d'Ivoire,CIV,Scientific and technical journal articles,IP.JRN.ARTC.SC,107.8,102.4,103.3,154.3,222.3,190.2,207.3,218.8,220,169.2,169.2
Croatia,HRV,Scientific and technical journal articles,IP.JRN.ARTC.SC,2518.2,3008.7,2931,3480.1,3821.6,4176.6,4243,4666.5,4479.2,4359,4359
Cuba,CUB,Scientific and technical journal articles,IP.JRN.ARTC.SC,815.5,939.6,1219.4,1096.8,1175.4,1398.7,1312.6,1585.2,1526,1547.9,1547.9
Cyprus,CYP,Scientific and technical journal articles,IP.JRN.ARTC.SC,217.5,265.6,313.8,365,434.6,575.4,620.5,656.9,736.9,888.6,888.6
Czech Republic,CZE,Scientific and technical journal articles,IP.JRN.ARTC.SC,6773.3,7722.3,8607,9650.9,10377.1,11026.3,12350,13152.2,13590.8,14022.4,14022.4
Denmark,DNK,Scientific and technical journal articles,IP.JRN.ARTC.SC,7629.7,8111,8367.9,8824.1,9040.2,9652.1,10168,11242.1,12237.1,12482.4,12482.4
Djibouti,DJI,Scientific and technical journal articles,IP.JRN.ARTC.SC,1.9,2.6,1.9,2.3,2.8,8.1,6.9,4.4,6.5,7.8,7.8
Dominica,DMA,Scientific and technical journal articles,IP.JRN.ARTC.SC,2.4,6.3,4.2,3.9,5.2,6.5,8.6,6.9,10.8,11.3,11.3
Dominican Republic,DOM,Scientific and technical journal articles,IP.JRN.ARTC.SC,13.6,17.7,18.1,20.2,18.6,15.5,17.3,20.7,25.5,39.1,39.1
Early-demographic dividend,EAR,Scientific and technical journal articles,IP.JRN.ARTC.SC,88319.43461,100274.931,115358.7003,128856.2365,143677.5637,163447.8,184183.8,214044.9486,229687.8741,241345.7931,241345.7931
East Asia & Pacific,EAS,Scientific and technical journal articles,IP.JRN.ARTC.SC,290757.907,364855.1477,403580.1796,438142.2074,481085.4869,532233.2829,572391.0262,634627.1782,661959.0595,699399.9335,699399.9335
East Asia & Pacific (excluding high income),EAP,Scientific and technical journal articles,IP.JRN.ARTC.SC,112918.8024,164208.1729,191073.1617,217906.6357,254464.2468,296573.8489,327711.3082,378489.1531,401254.3925,434278.8533,434278.8533
East Asia & Pacific (IDA & IBRD countries),TEA,Scientific and technical journal articles,IP.JRN.ARTC.SC,112845.3387,164119.6002,190947.3919,217824.0137,254429.9672,296493.1401,327697.2888,378467.4187,401225.7658,434227.7053,434227.7053
Ecuador,ECU,Scientific and technical journal articles,IP.JRN.ARTC.SC,92.5,126.3,122.7,138.5,150.4,182.9,191.6,168,250.4,256,256
"Egypt, Arab Rep.",EGY,Scientific and technical journal articles,IP.JRN.ARTC.SC,3415.2,3477.7,3916.8,4466.9,4893.8,6138.1,6697.7,7708,8929.7,9199.2,9199.2
El Salvador,SLV,Scientific and technical journal articles,IP.JRN.ARTC.SC,27.4,23.3,24.7,15.3,21.4,38.3,53.6,41.8,39.6,35.4,35.4
Equatorial Guinea,GNQ,Scientific and technical journal articles,IP.JRN.ARTC.SC,4.1,1.5,3.7,3.8,2.6,5,4.2,3.2,3,2.4,2.4
Eritrea,ERI,Scientific and technical journal articles,IP.JRN.ARTC.SC,11.7,12.8,18.3,27.7,11.2,8.5,12.2,16.7,7.7,10.6,10.6
Estonia,EST,Scientific and technical journal articles,IP.JRN.ARTC.SC,603.7,707.8,843.6,998.8,1087.7,1119.2,1339.8,1365.6,1389.4,1425.8,1425.8
Ethiopia,ETH,Scientific and technical journal articles,IP.JRN.ARTC.SC,208,218.4,279.9,327.9,355.9,423.8,475.1,581.5,718.7,801.7,801.7
Euro area,EMU,Scientific and technical journal articles,IP.JRN.ARTC.SC,271073.2,302713.6,318348.9,335091.6,349943.8,367791.3,374599.1,389644.5,405049.8,409134.6,409134.6
Europe & Central Asia,ECS,Scientific and technical journal articles,IP.JRN.ARTC.SC,473105.4236,526020.1184,550806.9592,580862.8708,604718.4457,636697.7131,652861.6653,681610.8633,708051.354,720931.8159,720931.8159
Europe & Central Asia (excluding high income),ECA,Scientific and technical journal articles,IP.JRN.ARTC.SC,56977.3,64094.4,64721.1,71682.9,76439.4,83912,89151.8,94330.4,96746.1,102008.4,102008.4
Europe & Central Asia (IDA & IBRD countries),TEC,Scientific and technical journal articles,IP.JRN.ARTC.SC,73624.3,82632.9,85016.7,92062.2,98653.3,106633.8,112858,119374.7,123810.8,130761.7,130761.7
European Union,EUU,Scientific and technical journal articles,IP.JRN.ARTC.SC,402907.1,447790.7,470351.6,495074.9,515794.1,541144.5,552780.2,575024.4,597675.6,605535.9,605535.9
Fiji,FJI,Scientific and technical journal articles,IP.JRN.ARTC.SC,55.1,58.5,71.8,80.2,60.9,70.3,56.8,58.3,59.5,84,84
Finland,FIN,Scientific and technical journal articles,IP.JRN.ARTC.SC,8127,8644.3,8892.7,9053.6,9208,9458.3,9471.5,9828.3,9985.8,10156.7,10156.7
Fragile and conflict affected situations,FCS,Scientific and technical journal articles,IP.JRN.ARTC.SC,1534.76173,1768.539488,2064.371263,2289.357753,2647.229894,3036.474222,3620.537531,3930.951223,4274.535771,4428.309308,4428.309308
France,FRA,Scientific and technical journal articles,IP.JRN.ARTC.SC,53953.1,58833,61646.6,63484.1,66206.3,68329.9,69063.2,70666.9,72424.4,72554.5,72554.5
Gabon,GAB,Scientific and technical journal articles,IP.JRN.ARTC.SC,34.3,44.1,43.1,34.3,43.1,50,41.9,59.4,54.4,50.3,50.3
"Gambia, The",GMB,Scientific and technical journal articles,IP.JRN.ARTC.SC,36.9,36,46.2,35.9,41.7,42.7,45.4,35.6,37.9,45.1,45.1
Georgia,GEO,Scientific and technical journal articles,IP.JRN.ARTC.SC,251.7,277.5,329,271.6,323.7,385.8,340.4,451.4,415.2,468.4,468.4
Germany,DEU,Scientific and technical journal articles,IP.JRN.ARTC.SC,72934.4,81765.2,83335.1,87319.9,89470.3,93328.5,95135.1,98492.8,101777.8,101073.9,101073.9
Ghana,GHA,Scientific and technical journal articles,IP.JRN.ARTC.SC,168.4,183,195.5,262.8,285.3,361.8,402.8,485.4,539.7,583.3,583.3
Greece,GRC,Scientific and technical journal articles,IP.JRN.ARTC.SC,7595.6,9055.5,10500,10838.3,11532.9,11802.2,11668.3,11599,11674,11370.4,11370.4
Grenada,GRD,Scientific and technical journal articles,IP.JRN.ARTC.SC,5.6,5.7,14.1,19.3,22.8,18.3,15.3,26,26.9,33.8,33.8
Guatemala,GTM,Scientific and technical journal articles,IP.JRN.ARTC.SC,28.7,52.9,37.9,34.5,41.8,64.6,53.7,48.8,73.2,80.5,80.5
Guinea,GIN,Scientific and technical journal articles,IP.JRN.ARTC.SC,10.2,6.8,17.2,14.1,11,10.3,11.3,10.6,11.9,11.5,11.5
Guinea-Bissau,GNB,Scientific and technical journal articles,IP.JRN.ARTC.SC,9.6,9.1,5.7,12.1,6.9,8.3,5.8,10.4,13.1,12,12
Guyana,GUY,Scientific and technical journal articles,IP.JRN.ARTC.SC,11.4,20.2,10.1,14,10.6,10.1,20.1,10.9,13.4,10.7,10.7
Haiti,HTI,Scientific and technical journal articles,IP.JRN.ARTC.SC,7.5,7.3,15.1,10.8,6.9,11.2,13.3,17.1,16.5,27.8,27.8
Heavily indebted poor countries (HIPC),HPC,Scientific and technical journal articles,IP.JRN.ARTC.SC,1994.757453,2245.727589,2583.121876,3056.554181,3204.45842,3596.1,4063.7,4661.323541,4900.753163,5216.992103,5216.992103
High income,HIC,Scientific and technical journal articles,IP.JRN.ARTC.SC,995368.275,1100022.03,1147310.667,1188215.749,1221626.454,1264378.251,1296645.365,1346930.377,1385664.386,1396451.377,1396451.377
Honduras,HND,Scientific and technical journal articles,IP.JRN.ARTC.SC,14,15.2,12.4,11.8,16.4,16.4,22.3,19,25.6,20,20
Hungary,HUN,Scientific and technical journal articles,IP.JRN.ARTC.SC,4597.2,5303.2,5331.4,5676.2,6196,5893.7,5718.8,6250.6,6340.5,6249.3,6249.3
IBRD only,IBD,Scientific and technical journal articles,IP.JRN.ARTC.SC,268393.8917,340663.1241,388922.7125,436593.8366,499377.2,568413,626872.8173,713567.2,758607.0442,807222.4919,807222.4919
Iceland,ISL,Scientific and technical journal articles,IP.JRN.ARTC.SC,299.9,345.2,347.5,359.9,424.4,489,550.5,539.8,627.5,575.9,575.9
IDA & IBRD total,IBT,Scientific and technical journal articles,IP.JRN.ARTC.SC,275820.1792,349735.5411,399907.1649,449777.8467,513680.7179,585380.6471,646124.3891,735274.9004,780955.5852,830664.1962,830664.1962
IDA blend,IDB,Scientific and technical journal articles,IP.JRN.ARTC.SC,4168.125486,5341.529363,6685.809741,8047.693105,8706.327578,10559.04917,11879.61957,13482.19946,13217.47507,14040.51632,14040.51632
IDA only,IDX,Scientific and technical journal articles,IP.JRN.ARTC.SC,2768.807807,3105.996149,3585.988911,4339.396346,4682.635152,5368.443984,6228.050191,6921.4271,7747.935612,7926.376964,7926.376964
IDA total,IDA,Scientific and technical journal articles,IP.JRN.ARTC.SC,6953.185705,8469.619155,10300.32671,12421.3677,13426.08238,15973.39944,18158.80425,20462.13281,21019.66295,22025.49218,22025.49218
India,IND,Scientific and technical journal articles,IP.JRN.ARTC.SC,28734.7,33090.1,38321.9,43421.1,49101.4,55646.4,65915.9,80515.4,88272.7,93349.4,93349.4
Indonesia,IDN,Scientific and technical journal articles,IP.JRN.ARTC.SC,364.7,468.6,552.5,542.3,643.7,956.1,1281.3,1769.3,1992.1,2927.7,2927.7
"Iran, Islamic Rep.",IRN,Scientific and technical journal articles,IP.JRN.ARTC.SC,4844.1,6919.6,9936.9,13187.7,17251.4,21100.2,25683.2,32975.5,33720.5,32964.8,32964.8
Iraq,IRQ,Scientific and technical journal articles,IP.JRN.ARTC.SC,90.7,140.8,243.9,240.7,318.8,408.2,606.6,792.5,945.3,946.5,946.5
Ireland,IRL,Scientific and technical journal articles,IP.JRN.ARTC.SC,3703.8,4588.9,4700.6,5323,5615.6,6269,6835.2,7189.5,6926,6874,6874
Israel,ISR,Scientific and technical journal articles,IP.JRN.ARTC.SC,9998.1,10221,10862.2,11065.4,11187.5,11072.9,10736.4,11017.1,11517.6,11300.2,11300.2
Italy,ITA,Scientific and technical journal articles,IP.JRN.ARTC.SC,42390.1,46243.2,49272,52883.5,54676.8,57620.2,57362.5,58974.9,63310.5,66310.3,66310.3
Jamaica,JAM,Scientific and technical journal articles,IP.JRN.ARTC.SC,154.3,135,140.9,165.9,198.2,202.8,156.6,200.9,208.4,176.4,176.4
Japan,JPN,Scientific and technical journal articles,IP.JRN.ARTC.SC,93882.3,103860.8,105130,103023.2,102616.6,104732.1,104015,104795.2,104313.9,103376.6,103376.6
Jordan,JOR,Scientific and technical journal articles,IP.JRN.ARTC.SC,742.2,790,949.5,1138.9,1312.6,1406.8,1510.4,1524.5,1514.2,1504.3,1504.3
Kazakhstan,KAZ,Scientific and technical journal articles,IP.JRN.ARTC.SC,194.6,229,209.9,206.7,217.1,265.5,315.3,376.4,509.9,879,879
Kenya,KEN,Scientific and technical journal articles,IP.JRN.ARTC.SC,435,452.6,487.9,575.1,617.1,692.7,733,840.2,765,871.6,871.6
Kiribati,KIR,Scientific and technical journal articles,IP.JRN.ARTC.SC,0,0,0.4,1.8,0,0.3,0.3,0,0,1.1,1.1
"Korea, Dem. People?s Rep.",PRK,Scientific and technical journal articles,IP.JRN.ARTC.SC,73.4,89,125.4,85.9,32.5,76.9,12.2,15.4,22.2,45.3,45.3
"Korea, Rep.",KOR,Scientific and technical journal articles,IP.JRN.ARTC.SC,26740.1,30925.9,36030.3,40199.8,43095.2,44684.1,49539.1,53821.3,56897,58844.1,58844.1
Kosovo,XKX,Scientific and technical journal articles,IP.JRN.ARTC.SC,6.7,12.8,25.5,32.5,51.6,95.3,126.8,109.2,119.7,124.3,124.3
Kuwait,KWT,Scientific and technical journal articles,IP.JRN.ARTC.SC,538.8,610.2,658.9,711.4,748.7,782.9,740.9,798.7,820.8,843.8,843.8
Kyrgyz Republic,KGZ,Scientific and technical journal articles,IP.JRN.ARTC.SC,27.2,42.9,49.5,37.6,50.4,35.4,34.7,46.2,51.3,60.4,60.4
Lao PDR,LAO,Scientific and technical journal articles,IP.JRN.ARTC.SC,37,22.6,42.8,26.2,35,40,43.7,48.2,60.4,69,69
Late-demographic dividend,LTE,Scientific and technical journal articles,IP.JRN.ARTC.SC,194820.5447,256864.3263,292562.4776,327951.4901,378029.338,429895.0995,470402.0974,531192.7107,563347.6815,603191.0806,603191.0806
Latin America & Caribbean,LCN,Scientific and technical journal articles,IP.JRN.ARTC.SC,37270.74072,42046.5202,51035.08579,54848.29682,62602.90327,68089.39235,72200.36487,76930.9135,83281.08258,85553.54673,85553.54673
Latin America & Caribbean (excluding high income),LAC,Scientific and technical journal articles,IP.JRN.ARTC.SC,34272.02318,38670.73151,47064.96395,50436.74734,57663.59801,62748.26237,66742.1,70908.6,76720.9,78966.9,78966.9
Latin America & the Caribbean (IDA & IBRD countries),TLA,Scientific and technical journal articles,IP.JRN.ARTC.SC,36138.7283,40764.83674,49406.46251,53304.75424,60933.20546,66161.76336,70340.7,74752.1,81109.7,83342.2,83342.2
Latvia,LVA,Scientific and technical journal articles,IP.JRN.ARTC.SC,263.8,403.1,341.3,435.4,554.8,648.7,728.6,1215.5,1135.8,1206.8,1206.8
Least developed countries: UN classification,LDC,Scientific and technical journal articles,IP.JRN.ARTC.SC,2246.521416,2531.365978,3003.336184,3607.650583,3781.954283,4442.673627,5104.165164,5672.015707,6367.632622,6554.197231,6554.197231
Lebanon,LBN,Scientific and technical journal articles,IP.JRN.ARTC.SC,482,549,622,656.6,723.5,761.4,778.8,904.1,1012,1050.3,1050.3
Lesotho,LSO,Scientific and technical journal articles,IP.JRN.ARTC.SC,5.9,4.7,9.8,9.6,12.9,8.7,8.6,10.3,18.2,12.4,12.4
Liberia,LBR,Scientific and technical journal articles,IP.JRN.ARTC.SC,1.6,1.3,4.7,2.8,1.4,3.7,3.9,9.6,7.8,8.3,8.3
Libya,LBY,Scientific and technical journal articles,IP.JRN.ARTC.SC,60.7,76.5,93.1,109.7,139.7,243.5,331.6,139.8,181,231.4,231.4
Liechtenstein,LIE,Scientific and technical journal articles,IP.JRN.ARTC.SC,25.7,35.1,34.4,25,33.1,20.7,28.1,29.2,32.7,26.3,26.3
Lithuania,LTU,Scientific and technical journal articles,IP.JRN.ARTC.SC,1104.1,1403.1,1564.2,1582.1,2309,2131,2239.2,2171,2169.4,2185.4,2185.4
Low & middle income,LMY,Scientific and technical journal articles,IP.JRN.ARTC.SC,257385.5582,329203.985,377411.0306,426634.7794,488264.0047,559381.4034,618899.7306,706473.5065,749603.0968,797637.484,797637.484
Low income,LIC,Scientific and technical journal articles,IP.JRN.ARTC.SC,1654.248688,1830.106858,2197.208239,2475.259771,2339.647243,2723.172598,2973.390813,3373.821429,3654.285802,3908.679412,3908.679412
Lower middle income,LMC,Scientific and technical journal articles,IP.JRN.ARTC.SC,47258.88114,54155.91777,61948.68384,70332.61319,79232.52126,90488.08432,104819.3409,124505.9434,135164.6302,143876.6836,143876.6836
Luxembourg,LUX,Scientific and technical journal articles,IP.JRN.ARTC.SC,143.2,144.1,188.2,213.9,309.3,384.9,451.4,572.1,576.2,732.2,732.2
"Macedonia, FYR",MKD,Scientific and technical journal articles,IP.JRN.ARTC.SC,244.2,239.7,208.7,253.7,310.3,379.8,312,421,440.4,439.9,439.9
Madagascar,MDG,Scientific and technical journal articles,IP.JRN.ARTC.SC,50,58,62.8,108.7,82,85,80.9,95.1,93.9,113.2,113.2
Malawi,MWI,Scientific and technical journal articles,IP.JRN.ARTC.SC,79.3,81.2,84.6,128.4,145.4,117.6,148,170.9,170.3,156.5,156.5
Malaysia,MYS,Scientific and technical journal articles,IP.JRN.ARTC.SC,1989.9,2391,3155.6,3850.7,6216.2,8549.7,11280.7,14962.2,15730.5,17720.1,17720.1
Maldives,MDV,Scientific and technical journal articles,IP.JRN.ARTC.SC,2.3,3.2,5.1,4.7,0.9,3,2.8,6.7,9.1,5.3,5.3
Mali,MLI,Scientific and technical journal articles,IP.JRN.ARTC.SC,32.8,42.8,53.1,53.4,50.4,65.1,61.7,77.2,84.3,64.2,64.2
Malta,MLT,Scientific and technical journal articles,IP.JRN.ARTC.SC,59.4,71.5,77.8,106.5,180.2,151.6,179.7,192.1,238.4,259.2,259.2
Marshall Islands,MHL,Scientific and technical journal articles,IP.JRN.ARTC.SC,1,0.8,3.7,0.8,1.6,1.7,1.5,1.5,1.5,0.3,0.3
Mauritania,MRT,Scientific and technical journal articles,IP.JRN.ARTC.SC,6.4,10.5,7.3,9,5,6.3,6.6,14.6,13.7,16.2,16.2
Mauritius,MUS,Scientific and technical journal articles,IP.JRN.ARTC.SC,55,56.1,59,58.1,64.9,77,87.9,59,102.6,109.5,109.5
Mexico,MEX,Scientific and technical journal articles,IP.JRN.ARTC.SC,7135.8,8166.2,9191.4,9348.5,10289,10701,11301.3,11877,12462.8,13112.4,13112.4
"Micronesia, Fed. Sts.",FSM,Scientific and technical journal articles,IP.JRN.ARTC.SC,2.4,4.7,2,6.2,4.3,3.8,7.7,4.9,4.2,5.9,5.9
Middle East & North Africa,MEA,Scientific and technical journal articles,IP.JRN.ARTC.SC,26309.6,29652.5,35149.7,40310.5,46827.4,54183.5,61141.3,72864.3,78049.5,80218.8,80218.8
Middle East & North Africa (excluding high income),MNA,Scientific and technical journal articles,IP.JRN.ARTC.SC,12942.2,15713.5,20209.2,24894.4,30787.9,37348.7,43481.9,53013,56295.6,56863.4,56863.4
Middle East & North Africa (IDA & IBRD countries),TMN,Scientific and technical journal articles,IP.JRN.ARTC.SC,12897.9,15658.5,20143.8,24818.3,30697.5,37239.1,43358.8,52886.6,56156.9,56737.6,56737.6
Middle income,MIC,Scientific and technical journal articles,IP.JRN.ARTC.SC,255317.9623,326839.963,374603.538,423469.4831,485125.6143,555743.9104,614914.137,701943.7724,744723.6598,792425.5068,792425.5068
Moldova,MDA,Scientific and technical journal articles,IP.JRN.ARTC.SC,104.9,173,138.4,148.3,166.2,196.8,174.8,204.1,228,226.6,226.6
Monaco,MCO,Scientific and technical journal articles,IP.JRN.ARTC.SC,37.7,37.6,35.5,29.6,36.1,46.2,42.9,47.1,30.5,34.4,34.4
Mongolia,MNG,Scientific and technical journal articles,IP.JRN.ARTC.SC,28,39.4,50.3,101.7,91.9,102.1,93.4,101.8,125,163.9,163.9
Montenegro,MNE,Scientific and technical journal articles,IP.JRN.ARTC.SC,4,11.9,25.5,42.3,63.8,61.4,103.8,130.8,154.2,192.3,192.3
Morocco,MAR,Scientific and technical journal articles,IP.JRN.ARTC.SC,941.7,916.1,986.9,1048.5,1216.9,1499,1683.7,2045.7,2380.4,2536.4,2536.4
Mozambique,MOZ,Scientific and technical journal articles,IP.JRN.ARTC.SC,30.9,34.5,45.3,41.7,45,58.9,44.6,72.9,60.4,67.8,67.8
Myanmar,MMR,Scientific and technical journal articles,IP.JRN.ARTC.SC,15.8,50.7,30.7,36.8,60.2,86.4,55.5,96.4,48.9,38.2,38.2
Namibia,NAM,Scientific and technical journal articles,IP.JRN.ARTC.SC,29.8,49.1,35.9,39.8,34.5,35.8,43.2,50,65.6,79.3,79.3
Nauru,NRU,Scientific and technical journal articles,IP.JRN.ARTC.SC,0.2,0.5,0.3,0,1.3,0.9,0,0.7,0,0.3,0.3
Nepal,NPL,Scientific and technical journal articles,IP.JRN.ARTC.SC,190.4,251.6,286.4,331.2,296.6,363.5,356.2,350.7,404.8,442.1,442.1
Netherlands,NLD,Scientific and technical journal articles,IP.JRN.ARTC.SC,20732.5,23481,24054.8,25114,25969.5,27967.6,28272.6,29226.7,30262.1,30412.4,30412.4
New Zealand,NZL,Scientific and technical journal articles,IP.JRN.ARTC.SC,4635.9,5112.6,5444.8,5823.7,6141.2,6380.3,6601.6,7161.5,7398.1,7244.3,7244.3
Nicaragua,NIC,Scientific and technical journal articles,IP.JRN.ARTC.SC,16.3,20.6,32.7,22.8,31.3,29.2,32.2,31.7,33.4,28.2,28.2
